         mode 1          mode 2
   6.389185e+00    7.856023e+00
   6.382371e+00    7.854594e+00
   6.375978e+00    7.853246e+00
   6.370010e+00    7.851982e+00
   6.364470e+00    7.850802e+00
   6.359362e+00    7.849710e+00
   6.354687e+00    7.848707e+00
   6.350450e+00    7.847795e+00
   6.346652e+00    7.846976e+00
   6.343295e+00    7.846250e+00
   6.340382e+00    7.845619e+00
   6.337914e+00    7.845085e+00
   6.335892e+00    7.844647e+00
   6.334318e+00    7.844307e+00
   6.333193e+00    7.844066e+00
   6.332516e+00    7.843923e+00
   6.332289e+00    7.843879e+00
   6.332289e+00    7.843879e+00
   6.330744e+00    7.843182e+00
   6.326061e+00    7.841193e+00
   6.318250e+00    7.837911e+00
   6.307327e+00    7.833334e+00
   6.293312e+00    7.827458e+00
   6.276234e+00    7.820281e+00
   6.256124e+00    7.811799e+00
   6.233021e+00    7.802007e+00
   6.206968e+00    7.790902e+00
   6.178012e+00    7.778480e+00
   6.146204e+00    7.764739e+00
   6.111600e+00    7.749677e+00
   6.074258e+00    7.733295e+00
   6.034241e+00    7.715593e+00
   5.991613e+00    7.696576e+00
   5.946440e+00    7.676248e+00
   5.898793e+00    7.654617e+00
   5.848741e+00    7.631692e+00
   5.796359e+00    7.607486e+00
   5.741721e+00    7.582012e+00
   5.684902e+00    7.555289e+00
   5.625978e+00    7.527335e+00
   5.565029e+00    7.498172e+00
   5.502133e+00    7.467825e+00
   5.437370e+00    7.436320e+00
   5.370819e+00    7.403686e+00
   5.302563e+00    7.369955e+00
   5.232683e+00    7.335160e+00
   5.161260e+00    7.299336e+00
   5.088378e+00    7.262521e+00
   5.014120e+00    7.224753e+00
   4.938568e+00    7.186074e+00
   4.861807e+00    7.146526e+00
   4.783919e+00    7.106153e+00
   4.704989e+00    7.064999e+00
   4.625100e+00    7.023112e+00
   4.544337e+00    6.980538e+00
   4.462783e+00    6.937327e+00
   4.380523e+00    6.893527e+00
   4.297640e+00    6.849188e+00
   4.214217e+00    6.804361e+00
   4.130337e+00    6.759096e+00
   4.046085e+00    6.713446e+00
   3.961541e+00    6.667463e+00
   3.876788e+00    6.621197e+00
   3.791908e+00    6.574701e+00
   3.706982e+00    6.528028e+00
   3.622090e+00    6.481228e+00
   3.537311e+00    6.434355e+00
   3.452726e+00    6.387458e+00
   3.368411e+00    6.340590e+00
   3.284444e+00    6.293801e+00
   3.200902e+00    6.247142e+00
   3.117859e+00    6.200661e+00
   3.035391e+00    6.154409e+00
   2.953570e+00    6.108433e+00
   2.872469e+00    6.062781e+00
   2.792159e+00    6.017499e+00
   2.712708e+00    5.972634e+00
   2.634187e+00    5.928231e+00
   2.556661e+00    5.884334e+00
   2.480196e+00    5.840985e+00
   2.404857e+00    5.798227e+00
   2.330707e+00    5.756102e+00
   2.257807e+00    5.714648e+00
   2.186216e+00    5.673905e+00
   2.115993e+00    5.633910e+00
   2.047194e+00    5.594700e+00
   1.979875e+00    5.556309e+00
   1.914089e+00    5.518774e+00
   1.849887e+00    5.482125e+00
   1.787320e+00    5.446394e+00
   1.726436e+00    5.411613e+00
   1.667281e+00    5.377810e+00
   1.609901e+00    5.345013e+00
   1.554337e+00    5.313249e+00
   1.500632e+00    5.282543e+00
   1.448825e+00    5.252920e+00
   1.398954e+00    5.224402e+00
   1.351055e+00    5.197011e+00
   1.305162e+00    5.170768e+00
   1.261308e+00    5.145691e+00
   1.219523e+00    5.121801e+00
   1.179836e+00    5.099112e+00
   1.142275e+00    5.077641e+00
   1.106865e+00    5.057404e+00
   1.073631e+00    5.038413e+00
   1.042593e+00    5.020681e+00
   1.013774e+00    5.004221e+00
   9.871919e-01    4.989042e+00
   9.628637e-01    4.975154e+00
   9.408055e-01    4.962567e+00
   9.210314e-01    4.951287e+00
   9.035539e-01    4.941321e+00
   8.883843e-01    4.932677e+00
   8.755320e-01    4.925358e+00
   8.650051e-01    4.919369e+00
   8.568102e-01    4.914714e+00
   8.509523e-01    4.911395e+00
   8.474352e-01    4.909414e+00
   8.462609e-01    4.908773e+00
   8.462609e-01    4.908773e+00
   8.478261e-01    4.909628e+00
   8.525139e-01    4.912270e+00
   8.603205e-01    4.916696e+00
   8.712393e-01    4.922902e+00
   8.852613e-01    4.930884e+00
   9.023747e-01    4.940636e+00
   9.225652e-01    4.952149e+00
   9.458158e-01    4.965415e+00
   9.721067e-01    4.980423e+00
   1.001416e+00    4.997159e+00
   1.033718e+00    5.015611e+00
   1.068985e+00    5.035761e+00
   1.107186e+00    5.057594e+00
   1.148289e+00    5.081088e+00
   1.192257e+00    5.106224e+00
   1.239052e+00    5.132978e+00
   1.288630e+00    5.161325e+00
   1.340949e+00    5.191239e+00
   1.395960e+00    5.222690e+00
   1.453614e+00    5.255648e+00
   1.513858e+00    5.290079e+00
   1.576635e+00    5.325949e+00
   1.641888e+00    5.363221e+00
   1.709556e+00    5.401855e+00
   1.779575e+00    5.441811e+00
   1.851879e+00    5.483044e+00
   1.926398e+00    5.525511e+00
   2.003063e+00    5.569162e+00
   2.081798e+00    5.613950e+00
   2.162529e+00    5.659822e+00
   2.245178e+00    5.706725e+00
   2.329663e+00    5.754605e+00
   2.415903e+00    5.803403e+00
   2.503814e+00    5.853060e+00
   2.593309e+00    5.903517e+00
   2.684301e+00    5.954711e+00
   2.776700e+00    6.006577e+00
   2.870416e+00    6.059051e+00
   2.965357e+00    6.112064e+00
   3.061428e+00    6.165548e+00
   3.158536e+00    6.219434e+00
   3.256585e+00    6.273651e+00
   3.355478e+00    6.328126e+00
   3.455118e+00    6.382786e+00
   3.555409e+00    6.437557e+00
   3.656251e+00    6.492365e+00
   3.757546e+00    6.547133e+00
   3.859196e+00    6.601787e+00
   3.961102e+00    6.656249e+00
   4.063167e+00    6.710443e+00
   4.165292e+00    6.764292e+00
   4.267379e+00    6.817719e+00
   4.369332e+00    6.870648e+00
   4.471055e+00    6.923002e+00
   4.572452e+00    6.974706e+00
   4.673430e+00    7.025684e+00
   4.773895e+00    7.075861e+00
   4.873757e+00    7.125165e+00
   4.972924e+00    7.173523e+00
   5.071309e+00    7.220863e+00
   5.168826e+00    7.267116e+00
   5.265389e+00    7.312214e+00
   5.360915e+00    7.356089e+00
   5.455325e+00    7.398678e+00
   5.548541e+00    7.439917e+00
   5.640486e+00    7.479747e+00
   5.731088e+00    7.518109e+00
   5.820276e+00    7.554948e+00
   5.907982e+00    7.590211e+00
   5.994141e+00    7.623848e+00
   6.078691e+00    7.655812e+00
   6.161572e+00    7.686058e+00
   6.242728e+00    7.714548e+00
   6.322107e+00    7.741242e+00
   6.399657e+00    7.766108e+00
   6.475331e+00    7.789117e+00
