12108
-249	-245.951	0	0.250954	-0.660001	-0.708111
-247	-249.416	0	0.413433	-0.403448	-0.816274
-243	-249.416	0	0.201149	-0.389394	-0.898839
-241	-245.951	0	-0.0680455	-0.459413	-0.885612
-237	-245.951	0	-0.184471	-0.0717884	-0.980213
-235	-249.416	0	0.0816053	-0.221946	-0.971638
-231	-249.416	0	-0.0857039	-0.493385	-0.865578
-229	-245.951	0	-0.22963	-0.477017	-0.848366
-225	-245.951	0	0.163238	-0.970019	-0.180043
-223	-249.416	0	-0.0214593	-0.965686	0.258824
-219	-249.416	0	-0.327732	-0.866432	0.37668
-217	-245.951	0	-0.160381	-0.620699	0.76747
-213	-245.951	0	-0.232109	-0.477286	0.847539
-211	-249.416	0	0.0929199	-0.492969	0.865071
-207	-249.416	0	0.00565068	-0.32374	0.946129
-205	-245.951	0	-0.0997658	-0.324474	0.940619
-201	-245.951	0	-0.407059	-0.0558907	0.91169
-199	-249.416	0	-0.577796	0.237127	0.780975
-195	-249.416	0	-0.582336	0.0542209	0.811138
-193	-245.951	0	-0.815604	0.26703	0.513308
-189	-245.951	0	-0.727301	0.312274	0.611161
-187	-249.416	0	-0.682183	0.695335	0.226133
-183	-249.416	0	-0.579621	0.814858	-0.00676415
-181	-245.951	0	-0.296597	0.864607	-0.405568
-177	-245.951	0	-0.335177	0.430957	-0.837814
-175	-249.416	0	0.0978197	0.414113	-0.904954
-171	-249.416	0	0.347532	0.139506	-0.927232
-169	-245.951	0	-0.18223	0.0899015	-0.979137
-165	-245.951	0	-0.0871909	0.121203	-0.988791
-163	-249.416	0	0.374011	0.273212	-0.886268
-159	-249.416	0	0.206491	0.320252	-0.924554
-157	-245.951	0	-0.135834	0.343768	-0.929178
-153	-245.951	0	-0.157919	0.216519	-0.963422
-151	-249.416	0	-0.203483	0.368058	-0.907264
-147	-249.416	0	-0.0829997	0.20004	-0.976266
-145	-245.951	0	-0.499694	-0.00651261	-0.866177
-141	-245.951	0	-0.850403	0.011756	-0.526
-139	-249.416	0	-0.747574	0.471595	-0.467686
-135	-249.416	0	-0.959874	0.215707	-0.179197
-133	-245.951	0	-0.946528	0.14469	-0.288358
-129	-245.951	0	-0.708752	-0.136044	0.692216
-127	-249.416	0	-0.364014	-0.137303	0.921218
-123	-249.416	0	-0.164205	-0.169099	0.971824
-121	-245.951	0	-0.621151	0.0393002	0.782705
-117	-245.951	0	-0.537595	0.334381	0.774068
-115	-249.416	0	-0.242268	0.424306	0.872508
-111	-249.416	0	-0.0713212	0.682777	0.727137
-109	-245.951	0	-0.323962	0.759226	0.564468
-105	-245.951	0	-0.000245241	0.960061	0.279792
-103	-249.416	0	0.280148	0.959954	0.00225462
-99	-249.416	0	0.0375625	0.972684	0.229073
-97	-245.951	0	0.268182	0.962783	0.0335701
-93	-245.951	0	0.0702418	0.979025	-0.19125
-91	-249.416	0	0.0740284	0.866741	-0.493234
-87	-249.416	0	-0.154928	0.832701	-0.531607
-85	-245.951	0	0.0797073	0.713636	-0.695967
-81	-245.951	0	0.0106212	0.628367	-0.777844
-79	-249.416	0	0.172738	0.531787	-0.829075
-75	-249.416	0	0.243973	0.375229	-0.894248
-73	-245.951	0	-0.212803	0.49798	-0.840673
-69	-245.951	0	0.0980491	0.606848	-0.788747
-67	-249.416	0	0.368375	0.667029	-0.64759
-63	-249.416	0	0.249379	0.468542	-0.847513
-61	-245.951	0	0.442556	0.170736	-0.880337
-57	-245.951	0	-0.148656	0.268939	-0.951616
-55	-249.416	0	-0.355188	0.166995	-0.919758
-51	-249.416	0	-0.440814	0.333527	-0.833333
-49	-245.951	0	-0.476849	0.215289	-0.852213
-45	-245.951	0	-0.237557	0.189605	-0.952689
-43	-249.416	0	-0.730652	-0.0806559	-0.67797
-39	-249.416	0	-0.253873	-0.0286039	-0.966815
-37	-245.951	0	-0.706295	-0.22437	-0.67142
-33	-245.951	0	-0.759901	-0.623135	0.185073
-31	-249.416	0	-0.696526	-0.38148	0.607721
-27	-249.416	0	-0.605226	-0.540806	0.58415
-25	-245.951	0	-0.58495	-0.465152	0.66443
-21	-245.951	0	-0.244143	-0.609597	0.754178
-19	-249.416	0	-0.492182	-0.522672	0.696111
-15	-249.416	0	-0.216119	-0.408422	0.886839
-13	-245.951	0	-0.21504	-0.667281	0.713087
-9	-245.951	0	-0.270214	-0.865438	0.421902
-7	-249.416	0	-0.375667	-0.825129	0.421943
-3	-249.416	0	-0.333126	-0.877003	0.346256
-249	-239.023	0	-0.240574	0.425131	-0.872575
-247	-242.487	0	-0.03658	-0.0779143	-0.996289
-243	-242.487	0	-0.0640915	-0.133716	-0.988945
-241	-239.023	0	-0.12302	-0.21566	-0.968688
-237	-239.023	0	0.00677831	-0.0535853	-0.99854
-235	-242.487	0	-0.219884	-0.131224	-0.96666
-231	-242.487	0	-0.0940732	-0.203606	-0.974523
-229	-239.023	0	-0.0567863	-0.182034	-0.981651
-225	-239.023	0	-0.207217	-0.591325	-0.779356
