         mode 1          mode 2
   5.765822e+00    7.071316e+00
   5.759048e+00    7.069907e+00
   5.752691e+00    7.068579e+00
   5.746756e+00    7.067335e+00
   5.741246e+00    7.066175e+00
   5.736164e+00    7.065102e+00
   5.731514e+00    7.064117e+00
   5.727298e+00    7.063223e+00
   5.723519e+00    7.062419e+00
   5.720178e+00    7.061708e+00
   5.717278e+00    7.061090e+00
   5.714821e+00    7.060567e+00
   5.712808e+00    7.060139e+00
   5.711240e+00    7.059807e+00
   5.710118e+00    7.059571e+00
   5.709443e+00    7.059432e+00
   5.709214e+00    7.059390e+00
   5.709214e+00    7.059390e+00
   5.707892e+00    7.058362e+00
   5.704251e+00    7.054981e+00
   5.698296e+00    7.049250e+00
   5.690032e+00    7.041177e+00
   5.679471e+00    7.030771e+00
   5.666623e+00    7.018044e+00
   5.651502e+00    7.003012e+00
   5.634127e+00    6.985692e+00
   5.614515e+00    6.966105e+00
   5.592689e+00    6.944274e+00
   5.568674e+00    6.920226e+00
   5.542495e+00    6.893988e+00
   5.514182e+00    6.865591e+00
   5.483767e+00    6.835070e+00
   5.451283e+00    6.802460e+00
   5.416766e+00    6.767798e+00
   5.380255e+00    6.731126e+00
   5.341790e+00    6.692486e+00
   5.301413e+00    6.651923e+00
   5.259169e+00    6.609483e+00
   5.215104e+00    6.565215e+00
   5.169268e+00    6.519171e+00
   5.121711e+00    6.471402e+00
   5.072484e+00    6.421963e+00
   5.021643e+00    6.370909e+00
   4.969242e+00    6.318297e+00
   4.915340e+00    6.264188e+00
   4.859994e+00    6.208639e+00
   4.803266e+00    6.151713e+00
   4.745217e+00    6.093473e+00
   4.685910e+00    6.033982e+00
   4.625410e+00    5.973304e+00
   4.563781e+00    5.911505e+00
   4.501091e+00    5.848652e+00
   4.437406e+00    5.784811e+00
   4.372796e+00    5.720050e+00
   4.307328e+00    5.654438e+00
   4.241074e+00    5.588042e+00
   4.174102e+00    5.520932e+00
   4.106485e+00    5.453178e+00
   4.038293e+00    5.384849e+00
   3.969597e+00    5.316014e+00
   3.900471e+00    5.246743e+00
   3.830985e+00    5.177107e+00
   3.761212e+00    5.107174e+00
   3.691224e+00    5.037015e+00
   3.621091e+00    4.966698e+00
   3.550887e+00    4.896293e+00
   3.480682e+00    4.825869e+00
   3.410548e+00    4.755494e+00
