         k_x          k_y          k_z           r_b1         r_b2         r_b3     flat index
  0.21350786   0.36980646   0.00000000     0.24092409   0.24092409   0.00000000     0.42701572
  0.21643262   0.37487230   0.00000000     0.24422442   0.24422442   0.00000000     0.43286525
  0.21935739   0.37993814   0.00000000     0.24752475   0.24752475   0.00000000     0.43871478
  0.22228215   0.38500398   0.00000000     0.25082508   0.25082508   0.00000000     0.44456431
  0.22520692   0.39006983   0.00000000     0.25412541   0.25412541   0.00000000     0.45041384
  0.22813168   0.39513567   0.00000000     0.25742574   0.25742574   0.00000000     0.45626337
  0.23105645   0.40020151   0.00000000     0.26072607   0.26072607   0.00000000     0.46211290
  0.23398121   0.40526735   0.00000000     0.26402640   0.26402640   0.00000000     0.46796243
  0.23690598   0.41033319   0.00000000     0.26732673   0.26732673   0.00000000     0.47381196
  0.23983075   0.41539904   0.00000000     0.27062706   0.27062706   0.00000000     0.47966149
  0.24275551   0.42046488   0.00000000     0.27392739   0.27392739   0.00000000     0.48551102
  0.24568028   0.42553072   0.00000000     0.27722772   0.27722772   0.00000000     0.49136055
  0.24860504   0.43059656   0.00000000     0.28052805   0.28052805   0.00000000     0.49721008
  0.25152981   0.43566240   0.00000000     0.28382838   0.28382838   0.00000000     0.50305961
  0.25445457   0.44072825   0.00000000     0.28712871   0.28712871   0.00000000     0.50890914
  0.25737934   0.44579409   0.00000000     0.29042904   0.29042904   0.00000000     0.51475867
  0.26030410   0.45085993   0.00000000     0.29372937   0.29372937   0.00000000     0.52060820
  0.26322887   0.45592577   0.00000000     0.29702970   0.29702970   0.00000000     0.52645773
  0.26615363   0.46099161   0.00000000     0.30033003   0.30033003   0.00000000     0.53230726
  0.26907840   0.46605746   0.00000000     0.30363036   0.30363036   0.00000000     0.53815679
  0.27200316   0.47112330   0.00000000     0.30693069   0.30693069   0.00000000     0.54400632
  0.27492793   0.47618914   0.00000000     0.31023102   0.31023102   0.00000000     0.54985586
  0.27785269   0.48125498   0.00000000     0.31353135   0.31353135   0.00000000     0.55570539
  0.28077746   0.48632082   0.00000000     0.31683168   0.31683168   0.00000000     0.56155492
  0.28370222   0.49138666   0.00000000     0.32013201   0.32013201   0.00000000     0.56740445
  0.28662699   0.49645251   0.00000000     0.32343234   0.32343234   0.00000000     0.57325398
  0.28955175   0.50151835   0.00000000     0.32673267   0.32673267   0.00000000     0.57910351
  0.29247652   0.50658419   0.00000000     0.33003300   0.33003300   0.00000000     0.58495304
  0.29540128   0.51165003   0.00000000     0.33333333   0.33333333   0.00000000     0.59080257
  0.29540128   0.51165003   0.00000000     0.33333333   0.33333333   0.00000000     0.59080257
  0.29686367   0.50911711   0.00000000     0.33498350   0.33003300   0.00000000     0.59372733
  0.29832605   0.50658419   0.00000000     0.33663366   0.32673267   0.00000000     0.59665210
  0.29978843   0.50405127   0.00000000     0.33828383   0.32343234   0.00000000     0.59957686
  0.30125081   0.50151835   0.00000000     0.33993399   0.32013201   0.00000000     0.60250163
  0.30271320   0.49898543   0.00000000     0.34158416   0.31683168   0.00000000     0.60542639
  0.30417558   0.49645251   0.00000000     0.34323432   0.31353135   0.00000000     0.60835116
  0.30563796   0.49391959   0.00000000     0.34488449   0.31023102   0.00000000     0.61127592
  0.30710034   0.49138666   0.00000000     0.34653465   0.30693069   0.00000000     0.61420069
  0.30856273   0.48885374   0.00000000     0.34818482   0.30363036   0.00000000     0.61712545
  0.31002511   0.48632082   0.00000000     0.34983498   0.30033003   0.00000000     0.62005022
  0.31148749   0.48378790   0.00000000     0.35148515   0.29702970   0.00000000     0.62297498
  0.31294988   0.48125498   0.00000000     0.35313531   0.29372937   0.00000000     0.62589975
  0.31441226   0.47872206   0.00000000     0.35478548   0.29042904   0.00000000     0.62882452
  0.31587464   0.47618914   0.00000000     0.35643564   0.28712871   0.00000000     0.63174928
  0.31733702   0.47365622   0.00000000     0.35808581   0.28382838   0.00000000     0.63467405
  0.31879941   0.47112330   0.00000000     0.35973597   0.28052805   0.00000000     0.63759881
  0.32026179   0.46859038   0.00000000     0.36138614   0.27722772   0.00000000     0.64052358
  0.32172417   0.46605746   0.00000000     0.36303630   0.27392739   0.00000000     0.64344834
  0.32318655   0.46352453   0.00000000     0.36468647   0.27062706   0.00000000     0.64637311
  0.32464894   0.46099161   0.00000000     0.36633663   0.26732673   0.00000000     0.64929787
  0.32611132   0.45845869   0.00000000     0.36798680   0.26402640   0.00000000     0.65222264
  0.32757370   0.45592577   0.00000000     0.36963696   0.26072607   0.00000000     0.65514740
  0.32903608   0.45339285   0.00000000     0.37128713   0.25742574   0.00000000     0.65807217
  0.33049847   0.45085993   0.00000000     0.37293729   0.25412541   0.00000000     0.66099693
  0.33196085   0.44832701   0.00000000     0.37458746   0.25082508   0.00000000     0.66392170
  0.33342323   0.44579409   0.00000000     0.37623762   0.24752475   0.00000000     0.66684646
  0.33488561   0.44326117   0.00000000     0.37788779   0.24422442   0.00000000     0.66977123
  0.33634800   0.44072825   0.00000000     0.37953795   0.24092409   0.00000000     0.67269599
  0.33781038   0.43819532   0.00000000     0.38118812   0.23762376   0.00000000     0.67562076
  0.33927276   0.43566240   0.00000000     0.38283828   0.23432343   0.00000000     0.67854552
  0.34073514   0.43312948   0.00000000     0.38448845   0.23102310   0.00000000     0.68147029
  0.34219753   0.43059656   0.00000000     0.38613861   0.22772277   0.00000000     0.68439505
  0.34365991   0.42806364   0.00000000     0.38778878   0.22442244   0.00000000     0.68731982
  0.34512229   0.42553072   0.00000000     0.38943894   0.22112211   0.00000000     0.69024458
  0.34658467   0.42299780   0.00000000     0.39108911   0.21782178   0.00000000     0.69316935
  0.34804706   0.42046488   0.00000000     0.39273927   0.21452145   0.00000000     0.69609411
  0.34950944   0.41793196   0.00000000     0.39438944   0.21122112   0.00000000     0.69901888
  0.35097182   0.41539904   0.00000000     0.39603960   0.20792079   0.00000000     0.70194364
  0.35243421   0.41286612   0.00000000     0.39768977   0.20462046   0.00000000     0.70486841
  0.35389659   0.41033319   0.00000000     0.39933993   0.20132013   0.00000000     0.70779318
  0.35535897   0.40780027   0.00000000     0.40099010   0.19801980   0.00000000     0.71071794
  0.35682135   0.40526735   0.00000000     0.40264026   0.19471947   0.00000000     0.71364271
  0.35828374   0.40273443   0.00000000     0.40429043   0.19141914   0.00000000     0.71656747
  0.35974612   0.40020151   0.00000000     0.40594059   0.18811881   0.00000000     0.71949224
  0.36120850   0.39766859   0.00000000     0.40759076   0.18481848   0.00000000     0.72241700
  0.36267088   0.39513567   0.00000000     0.40924092   0.18151815   0.00000000     0.72534177
  0.36413327   0.39260275   0.00000000     0.41089109   0.17821782   0.00000000     0.72826653
  0.36559565   0.39006983   0.00000000     0.41254125   0.17491749   0.00000000     0.73119130
  0.36705803   0.38753691   0.00000000     0.41419142   0.17161716   0.00000000     0.73411606
  0.36852041   0.38500398   0.00000000     0.41584158   0.16831683   0.00000000     0.73704083
  0.36998280   0.38247106   0.00000000     0.41749175   0.16501650   0.00000000     0.73996559
  0.37144518   0.37993814   0.00000000     0.41914191   0.16171617   0.00000000     0.74289036
  0.37290756   0.37740522   0.00000000     0.42079208   0.15841584   0.00000000     0.74581512
  0.37436994   0.37487230   0.00000000     0.42244224   0.15511551   0.00000000     0.74873989
  0.37583233   0.37233938   0.00000000     0.42409241   0.15181518   0.00000000     0.75166465
  0.37729471   0.36980646   0.00000000     0.42574257   0.14851485   0.00000000     0.75458942
  0.37875709   0.36727354   0.00000000     0.42739274   0.14521452   0.00000000     0.75751418
  0.38021947   0.36474062   0.00000000     0.42904290   0.14191419   0.00000000     0.76043895
  0.38168186   0.36220770   0.00000000     0.43069307   0.13861386   0.00000000     0.76336371
  0.38314424   0.35967478   0.00000000     0.43234323   0.13531353   0.00000000     0.76628848
  0.38460662   0.35714185   0.00000000     0.43399340   0.13201320   0.00000000     0.76921324
