         mode 1          mode 2
   6.374139e+00    7.865736e+00
   6.367303e+00    7.864308e+00
   6.360889e+00    7.862961e+00
   6.354902e+00    7.861697e+00
   6.349344e+00    7.860519e+00
   6.344219e+00    7.859428e+00
   6.339530e+00    7.858427e+00
   6.335279e+00    7.857516e+00
   6.331468e+00    7.856699e+00
   6.328100e+00    7.855975e+00
   6.325177e+00    7.855347e+00
   6.322701e+00    7.854815e+00
   6.320672e+00    7.854380e+00
   6.319092e+00    7.854044e+00
   6.317962e+00    7.853805e+00
   6.317282e+00    7.853666e+00
   6.317053e+00    7.853626e+00
   6.317053e+00    7.853626e+00
   6.315496e+00    7.852970e+00
   6.310826e+00    7.851002e+00
   6.303051e+00    7.847721e+00
   6.292186e+00    7.843125e+00
   6.278254e+00    7.837213e+00
   6.261278e+00    7.829981e+00
   6.241293e+00    7.821426e+00
   6.218334e+00    7.811546e+00
   6.192443e+00    7.800337e+00
   6.163666e+00    7.787797e+00
   6.132053e+00    7.773926e+00
   6.097658e+00    7.758723e+00
   6.060539e+00    7.742190e+00
   6.020755e+00    7.724329e+00
   5.978371e+00    7.705144e+00
   5.933451e+00    7.684643e+00
   5.886064e+00    7.662833e+00
   5.836280e+00    7.639726e+00
   5.784170e+00    7.615334e+00
   5.729807e+00    7.589673e+00
   5.673267e+00    7.562761e+00
   5.614626e+00    7.534618e+00
   5.553960e+00    7.505267e+00
   5.491348e+00    7.474732e+00
   5.426868e+00    7.443041e+00
   5.360602e+00    7.410222e+00
   5.292628e+00    7.376309e+00
   5.223028e+00    7.341334e+00
   5.151884e+00    7.305333e+00
   5.079279e+00    7.268344e+00
   5.005294e+00    7.230406e+00
   4.930013e+00    7.191560e+00
   4.853518e+00    7.151849e+00
   4.775894e+00    7.111316e+00
   4.697223e+00    7.070006e+00
   4.617591e+00    7.027967e+00
   4.537079e+00    6.985245e+00
   4.455773e+00    6.941888e+00
   4.373756e+00    6.897947e+00
   4.291112e+00    6.853471e+00
   4.207923e+00    6.808510e+00
   4.124273e+00    6.763116e+00
   4.040245e+00    6.717339e+00
   3.955922e+00    6.671232e+00
   3.871385e+00    6.624847e+00
   3.786716e+00    6.578235e+00
   3.701996e+00    6.531448e+00
   3.617305e+00    6.484538e+00
   3.532723e+00    6.437557e+00
   3.448330e+00    6.390556e+00
   3.364202e+00    6.343586e+00
   3.280418e+00    6.296698e+00
   3.197053e+00    6.249942e+00
   3.114184e+00    6.203367e+00
   3.031884e+00    6.157023e+00
   2.950227e+00    6.110957e+00
   2.869285e+00    6.065217e+00
   2.789130e+00    6.019851e+00
   2.709829e+00    5.974902e+00
   2.631454e+00    5.930418e+00
   2.554069e+00    5.886441e+00
   2.477741e+00    5.843015e+00
   2.402535e+00    5.800181e+00
   2.328513e+00    5.757981e+00
   2.255736e+00    5.716454e+00
   2.184265e+00    5.675640e+00
   2.114158e+00    5.635575e+00
   2.045471e+00    5.596297e+00
   1.978260e+00    5.557840e+00
   1.912577e+00    5.520238e+00
   1.848475e+00    5.483525e+00
   1.786004e+00    5.447731e+00
   1.725212e+00    5.412888e+00
   1.666145e+00    5.379024e+00
   1.608849e+00    5.346168e+00
   1.553366e+00    5.314345e+00
   1.499738e+00    5.283582e+00
   1.448005e+00    5.253903e+00
   1.398204e+00    5.225329e+00
   1.350372e+00    5.197884e+00
   1.304542e+00    5.171588e+00
   1.260747e+00    5.146460e+00
   1.219019e+00    5.122519e+00
   1.179386e+00    5.099780e+00
   1.141875e+00    5.078261e+00
   1.106512e+00    5.057976e+00
   1.073322e+00    5.038939e+00
   1.042325e+00    5.021162e+00
   1.013544e+00    5.004658e+00
   9.869966e-01    4.989436e+00
   9.627003e-01    4.975506e+00
   9.406711e-01    4.962878e+00
   9.209231e-01    4.951558e+00
   9.034690e-01    4.941555e+00
   8.883198e-01    4.932873e+00
   8.754852e-01    4.925518e+00
   8.649731e-01    4.919494e+00
   8.567903e-01    4.914806e+00
   8.509418e-01    4.911455e+00
   8.474313e-01    4.909443e+00
   8.462609e-01    4.908773e+00
   8.462609e-01    4.908773e+00
   8.474313e-01    4.909443e+00
   8.509418e-01    4.911455e+00
   8.567903e-01    4.914806e+00
   8.649731e-01    4.919494e+00
   8.754852e-01    4.925518e+00
   8.883198e-01    4.932873e+00
   9.034690e-01    4.941555e+00
   9.209231e-01    4.951558e+00
   9.406711e-01    4.962878e+00
   9.627003e-01    4.975506e+00
   9.869966e-01    4.989436e+00
   1.013544e+00    5.004658e+00
   1.042325e+00    5.021162e+00
   1.073322e+00    5.038939e+00
   1.106512e+00    5.057976e+00
   1.141875e+00    5.078261e+00
   1.179386e+00    5.099780e+00
   1.219019e+00    5.122519e+00
   1.260747e+00    5.146460e+00
   1.304542e+00    5.171588e+00
   1.350372e+00    5.197884e+00
   1.398204e+00    5.225329e+00
   1.448005e+00    5.253903e+00
   1.499738e+00    5.283582e+00
   1.553366e+00    5.314345e+00
   1.608849e+00    5.346168e+00
   1.666145e+00    5.379024e+00
   1.725212e+00    5.412888e+00
   1.786004e+00    5.447731e+00
   1.848475e+00    5.483525e+00
   1.912577e+00    5.520238e+00
   1.978260e+00    5.557840e+00
   2.045471e+00    5.596297e+00
   2.114158e+00    5.635575e+00
   2.184265e+00    5.675640e+00
   2.255736e+00    5.716454e+00
   2.328513e+00    5.757981e+00
   2.402535e+00    5.800181e+00
   2.477741e+00    5.843015e+00
   2.554069e+00    5.886441e+00
   2.631454e+00    5.930418e+00
   2.709829e+00    5.974902e+00
   2.789130e+00    6.019851e+00
   2.869285e+00    6.065217e+00
   2.950227e+00    6.110957e+00
   3.031884e+00    6.157023e+00
   3.114184e+00    6.203367e+00
   3.197053e+00    6.249942e+00
   3.280418e+00    6.296698e+00
   3.364202e+00    6.343586e+00
   3.448330e+00    6.390556e+00
   3.532723e+00    6.437557e+00
   3.617305e+00    6.484538e+00
   3.701996e+00    6.531448e+00
   3.786716e+00    6.578235e+00
   3.871385e+00    6.624847e+00
   3.955922e+00    6.671232e+00
   4.040245e+00    6.717339e+00
   4.124273e+00    6.763116e+00
   4.207923e+00    6.808510e+00
   4.291112e+00    6.853471e+00
   4.373756e+00    6.897947e+00
   4.455773e+00    6.941888e+00
   4.537079e+00    6.985245e+00
   4.617591e+00    7.027967e+00
   4.697223e+00    7.070006e+00
   4.775894e+00    7.111316e+00
   4.853518e+00    7.151849e+00
